opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_3_2_bn1             blocks.3.2.bn1             (blocks_3_2_conv_pw,)                                                                                                                                       {}
call_module    blocks_3_2_act1            blocks.3.2.act1            (blocks_3_2_bn1,)                                                                                                                                           {}
call_module    blocks_3_2_conv_dw         blocks.3.2.conv_dw         (blocks_3_2_act1,)                                                                                                                                          {}
call_module    blocks_3_2_bn2             blocks.3.2.bn2             (blocks_3_2_conv_dw,)                                                                                                                                       {}
call_module    blocks_3_2_act2            blocks.3.2.act2            (blocks_3_2_bn2,)                                                                                                                                           {}
call_method    mean_10                    mean                       (blocks_3_2_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_3_2_se_conv_reduce  blocks.3.2.se.conv_reduce  (mean_10,)                                                                                                                                                  {}
call_module    blocks_3_2_se_act1         blocks.3.2.se.act1         (blocks_3_2_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_3_2_se_conv_expand  blocks.3.2.se.conv_expand  (blocks_3_2_se_act1,)                                                                                                                                       {}
call_module    blocks_3_2_se_gate         blocks.3.2.se.gate         (blocks_3_2_se_conv_expand,)                                                                                                                                {}
call_function  mul_10                     <built-in function mul>    (blocks_3_2_act2, blocks_3_2_se_gate)                                                                                                                       {}
call_module    blocks_3_2_conv_pwl        blocks.3.2.conv_pwl        (mul_10,)                                                                                                                                                   {}
call_module    blocks_3_2_bn3             blocks.3.2.bn3             (blocks_3_2_conv_pwl,)                                                                                                                                      {}
call_function  add_6                      <built-in function add>    (blocks_3_2_bn3, add_5)                                                                                                                                     {}
call_module    blocks_3_3_conv_pw         blocks.3.3.conv_pw         (add_6,)                                                                                                                                                    {}
call_module    blocks_3_3_bn1             blocks.3.3.bn1             (blocks_3_3_conv_pw,)                                                                                                                                       {}
call_module    blocks_3_3_act1            blocks.3.3.act1            (blocks_3_3_bn1,)                                                                                                                                           {}
call_module    blocks_3_3_conv_dw         blocks.3.3.conv_dw         (blocks_3_3_act1,)                                                                                                                                          {}
call_module    blocks_3_3_bn2             blocks.3.3.bn2             (blocks_3_3_conv_dw,)                                                                                                                                       {}
call_module    blocks_3_3_act2            blocks.3.3.act2            (blocks_3_3_bn2,)                                                                                                                                           {}
call_method    mean_11                    mean                       (blocks_3_3_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_3_3_se_conv_reduce  blocks.3.3.se.conv_reduce  (mean_11,)                                                                                                                                                  {}
